,plotID,year,site,Treatment,replicate,acerru,acersa,actapa,allipe_1,allipe_2,allipe_total,aristr,betual,careap,carela,caresp,carpca,caryco,dennpu,dryoca,erytam,eurydi,fraxam,galitr,impaca,maiaca,maiara,onocse,ostrvi,partqu,polyac,polybi,prunse,prunse_cot,querru,ranuab,rubual,solicae,toxira,violsp,shannon,totalStem,mass,Fern,Forb,Grass,NonNative,Woody
1,2017-Spr-HF-I-1,2017,HF,Invaded,1,0,12,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,27,0,0,0,0,0,0,0,1.331654311,69.33165431,3.01,0,29,0,29,39
2,2017-Spr-HF-I-2,2017,HF,Invaded,2,1,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,2,0,0,0,0,0,1.52731965,43.52731965,3.78,0,20,0,2,22
3,2017-Spr-HF-I-3,2017,HF,Invaded,3,0,8,0,4,0,4,2,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1.361733863,42.36173386,6.14,0,14,0,9,27
4,2017-Spr-HF-P-1,2017,HF,Eradicated,1,1,6,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0.411064602,151.4110646,0.8,0,138,0,31,13
5,2017-Spr-HF-P-2,2017,HF,Eradicated,2,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,6,0,3,0,0,0,0,0,1.487386474,40.48738647,2.05,0,24,0,1,15
6,2017-Spr-HF-P-3,2017,HF,Eradicated,3,0,5,0,4,0,4,4,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,1,1.905974967,28.90597497,4.34,0,10,0,9,17
7,2017-Spr-HF-U-1,2017,HF,Control,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,6,0,2,0,0,0,0,0,1.392881433,22.39288143,3,0,11,0,15,10
8,2017-Spr-HF-U-2,2017,HF,Control,2,1,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,7,0,0,0,2,72,0,0,0,0,0,0,0,0.880918396,90.8809184,5.44,9,6,0,3,75
9,2017-Spr-HF-U-3,2017,HF,Control,3,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,2,0,0,0,1,8,0,2,0,0,0,13,0,1.853055864,60.85305586,1.56,2,22,0,7,35
10,2017-Spr-MC-I-1,2017,MC,Invaded,1,0,18,0,106,1,107,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,26,1,0,5,0,0,0,1.438617498,113.4386175,6.37,0,6,0,214,106
11,2017-Spr-MC-I-2,2017,MC,Invaded,2,1,34,0,41,2,43,0,1,7,3,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,27,0,0,5,0,0,0,1.840525156,97.84052516,5.29,0,0,10,86,86
12,2017-Spr-MC-I-3,2017,MC,Invaded,3,0,16,0,26,0,26,20,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.973731391,113.9737314,9.53,0,94,0,52,19
13,2017-Spr-MC-P-1,2017,MC,Eradicated,1,0,4,0,124,8,132,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,2,2,0,0,1.961549891,28.96154989,4.02,3,3,0,264,21
14,2017-Spr-MC-P-2,2017,MC,Eradicated,2,0,7,0,24,0,24,19,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,1,0,3,4,2,0,0,1.864299826,45.86429983,3.4,0,28,0,48,16
15,2017-Spr-MC-P-3,2017,MC,Eradicated,3,1,9,0,0,0,0,8,0,0,0,0,0,1,0,0,14,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1.801114279,43.80111428,2.74,0,25,0,0,17
16,2017-Spr-MC-U-1,2017,MC,Control,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,847,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,0,0,0,0.243089867,890.2430899,0.43,0,847,0,0,43
17,2017-Spr-MC-U-2,2017,MC,Control,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.522955068,10.52295507,1.59,0,2,3,0,4
18,2017-Spr-MC-U-3,2017,MC,Control,3,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,105,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.504914784,117.5049148,1.11,0,106,0,0,11